,source,target,stimulation,inhibition,mode_of_action
0,Q13255,P48995,1,0,1.0
1,O75762,Q9NQC7,0,0,0.1
2,P49137,Q16539,0,0,0.1
3,Q16539,P49137,1,0,1.0
4,P49137,O95453,0,1,-1.0
5,P49757,P46531,0,1,-1.0
6,P31749,O15111,1,0,1.0
7,O15111,P19838,1,0,1.0
8,P19838,O15111,0,0,0.1
9,P38936,P06493,0,1,-1.0
10,P08069,P05019,0,0,0.1
11,P50281,P08253,1,0,1.0
12,P00519,O15350,1,0,1.0
13,Q93009,Q00987,1,0,1.0
14,Q93009,O15151,1,0,1.0
15,Q14676,O76064,1,0,1.0
16,O60260,P49792,0,1,-1.0
17,O60260,P37840,0,1,-1.0
18,P60484,Q70Z35,0,0,0.1
19,Q70Z35,P60484,0,1,-1.0
20,P04049,P30086,0,0,0.1
21,P30086,P04049,1,0,1.0
22,Q969H0,P01106,0,1,-1.0
23,Q13153,P49023,1,0,1.0
24,Q96Q15,Q92900,1,0,1.0
25,P45983,P45985,0,0,0.1
26,P45985,P45983,1,0,1.0
27,O75143,O75385,0,0,0.1
28,O75385,O75143,1,0,1.0
29,O75385,Q8TDY2,1,0,1.0
30,Q8TDY2,O75385,0,0,0.1
31,P42345,O75143,0,1,-1.0
32,O75143,Q8TDY2,1,0,1.0
33,P42345,Q8IYT8,0,1,-1.0
34,Q14457,Q99570,1,0,1.0
35,Q13009,P63000,1,0,1.0
36,P01112,Q13009,1,0,1.0
37,Q13009,P01112,0,0,0.1
38,P42345,Q8N122,1,0,1.0
39,Q8N122,P42345,0,0,0.1
40,P31749,Q96B36,0,1,-1.0
41,P53355,Q96RR4,0,1,-1.0
42,P42345,Q9BVC4,0,0,0.1
43,Q9BVC4,P42345,0,0,0.1
44,O75143,Q8IYT8,0,0,0.1
45,Q8IYT8,O75143,1,0,1.0
46,Q07817,Q14457,0,0,0.1
47,Q14457,Q07817,0,0,0.1
48,Q96B36,Q8N122,0,1,-1.0
49,P42345,Q96B36,0,1,-1.0
50,Q96B36,P42345,0,0,0.1
51,Q8IYT8,Q8TDY2,1,0,1.0
52,Q8TDY2,Q8IYT8,0,0,0.1
53,P01112,Q9P212,1,0,1.0
54,Q9P212,P01112,0,0,0.1
55,Q16539,Q8IW41,1,0,1.0
56,Q8IW41,Q16539,0,0,0.1
57,Q8IW41,P04637,1,0,1.0
58,Q9H1Y0,Q676U5,1,0,1.0
59,Q07817,Q12983,0,0,0.1
60,Q12983,Q07817,0,1,-1.0
61,Q9Y4P1,Q9GZQ8,1,0,1.0
62,P53355,P25205,1,0,1.0
63,P07384,P55957,1,0,1.0
64,Q13546,Q92851,0,0,0.1
65,Q92851,Q13546,0,1,-1.0
66,Q92851,P55957,1,0,1.0
67,P58753,Q99836,1,0,1.0
68,O15530,P05129,1,0,1.0
69,Q12967,P11233,1,0,1.0
70,Q15311,P60953,0,1,-1.0
71,Q15311,P63000,0,1,-1.0
72,P10721,P62993,1,0,1.0
73,Q14164,Q92985,1,0,1.0
74,P04626,P62993,1,0,1.0
75,P31751,P38936,0,1,-1.0
76,P31749,P46527,0,1,-1.0
77,P05129,P04049,1,0,1.0
78,Q8N474,P56705,1,0,1.0
79,Q8N474,P04628,1,0,1.0
80,P42574,Q13490,0,0,0.1
81,Q13490,P42574,0,1,-1.0
82,Q07820,Q16611,0,1,-1.0
83,P55211,Q9NR09,0,0,0.1
84,Q9NR09,P55211,0,1,-1.0
85,O43521,Q07820,0,0,0.1
86,Q07820,O43521,0,1,-1.0
87,P42345,O75385,0,1,-1.0
88,P42345,Q15382,0,0,0.1
89,Q15382,P42345,1,0,1.0
90,P49815,Q15382,0,1,-1.0
91,P49815,Q92574,1,0,1.0
92,Q92574,P49815,0,0,0.1
93,O95352,Q9GZQ8,1,0,1.0
94,P31749,P49815,0,1,-1.0
95,P61586,O75116,1,0,1.0
96,O94817,O95352,0,0,0.1
97,O95352,O94817,1,0,1.0
98,O94817,Q9H1Y0,1,0,1.0
99,Q9GZQ8,Q9NT62,0,0,0.1
100,Q9NT62,Q9GZQ8,1,0,1.0
101,Q92843,Q13323,0,1,-1.0
102,P63167,O43521,0,1,-1.0
103,O15519,Q92851,0,1,-1.0
104,P42574,Q14790,0,0,0.1
105,Q14790,P42574,1,0,1.0
106,P42574,Q92851,0,0,0.1
107,Q92851,P42574,1,0,1.0
108,Q07817,O14727,0,1,-1.0
109,P53355,P04637,1,0,1.0
110,Q15382,Q9BVC4,1,0,1.0
111,Q9BSB4,O75143,1,0,1.0
112,P41743,Q92934,0,1,-1.0
113,P45983,P10415,0,1,-1.0
114,P53355,Q14457,1,0,1.0
115,Q15382,Q14318,0,1,-1.0
116,Q14318,P42345,0,1,-1.0
117,Q05513,Q13158,0,1,-1.0
118,P51812,Q8N122,1,0,1.0
119,Q15418,Q8N122,1,0,1.0
120,Q14790,Q9UKL3,0,0,0.1
121,Q9UKL3,Q14790,1,0,1.0
122,P27361,Q02750,0,0,0.1
123,Q02750,P27361,1,0,1.0
124,P27361,P51812,1,0,1.0
125,P51812,P27361,0,0,0.1
126,P28482,Q15418,1,0,1.0
127,Q15418,P28482,0,0,0.1
128,P28482,P51812,1,0,1.0
129,P51812,P28482,0,0,0.1
130,P28482,P53355,1,0,1.0
131,P53355,P28482,0,0,0.1
132,P10586,P53355,1,0,1.0
133,P53355,P49815,0,1,-1.0
134,P27361,P53355,1,0,1.0
135,P53355,P27361,0,0,0.1
136,P10301,P04049,1,0,1.0
137,P04049,Q02750,1,0,1.0
138,Q02750,P04049,0,0,0.1
139,Q13315,Q14676,1,0,1.0
140,O96017,Q15717,1,0,1.0
141,O14757,P30291,1,0,1.0
142,P31749,P38936,0,1,-1.0
143,P49137,P30304,0,1,-1.0
144,O14757,P30305,0,1,-1.0
145,Q13535,Q99708,1,0,1.0
146,P06493,Q01094,1,0,1.0
147,P42345,Q13542,0,1,-1.0
148,P41279,Q99558,1,0,1.0
149,O14920,Q92574,0,1,-1.0
150,P41279,P45985,1,0,1.0
151,P31749,Q6R327,0,1,-1.0
152,Q6R327,P31749,0,0,0.1
153,Q13542,P06730,0,1,-1.0
154,Q13541,P06730,0,1,-1.0
155,P42345,Q13541,0,1,-1.0
156,Q13541,P42345,0,0,0.1
157,O95999,Q9Y6K9,1,0,1.0
158,O14920,Q99558,0,0,0.1
159,Q99558,O14920,1,0,1.0
160,O14920,P21580,0,0,0.1
161,P21580,O14920,0,0,0.1
162,P04637,O15392,0,1,-1.0
163,P49137,P49815,0,1,-1.0
164,O60674,P40763,1,0,1.0
165,Q6VAB6,P41279,0,1,-1.0
166,O96017,P04637,1,0,1.0
167,P19838,P41279,0,1,-1.0
168,P41279,P19838,0,0,0.1
169,Q13315,Q15831,1,0,1.0
170,Q9H2X6,P04637,1,0,1.0
171,P29466,Q9NZH6,1,0,1.0
172,P29466,O95760,1,0,1.0
173,O14798,P50591,0,0,0.1
174,O14920,O43318,0,0,0.1
175,O43318,O14920,1,0,1.0
176,O14763,Q13546,1,0,1.0
177,Q13315,P00519,1,0,1.0
178,Q12933,Q13490,0,0,0.1
179,Q13490,Q12933,0,1,-1.0
180,P29466,Q9ULZ3,0,1,-1.0
181,Q9ULZ3,P29466,0,0,0.1
182,Q5EG05,P29466,0,1,-1.0
183,P23458,P35568,1,0,1.0
184,P35568,P23458,0,0,0.1
185,P23458,Q9Y4H2,1,0,1.0
186,P06213,Q9Y4H2,1,0,1.0
187,Q12933,Q99558,1,0,1.0
188,Q99558,Q12933,0,0,0.1
189,Q7Z434,Q9BYX4,0,0,0.1
190,Q9BYX4,Q7Z434,1,0,1.0
191,Q9HC29,Q99558,1,0,1.0
192,P00519,P11387,1,0,1.0
193,P42224,P10914,1,0,1.0
194,Q13546,Q8IUC6,0,0,0.1
195,Q8IUC6,Q13546,1,0,1.0
196,Q8IUC6,Q9UHD2,1,0,1.0
197,Q9UHD2,Q8IUC6,0,0,0.1
198,Q14164,Q8IUC6,0,0,0.1
199,Q8IUC6,Q14164,1,0,1.0
200,P53355,P46821,1,0,1.0
201,Q13315,Q9UQE7,1,0,1.0
202,Q96Q15,P04637,1,0,1.0
203,O00206,P58753,1,0,1.0
204,O00206,Q86XR7,1,0,1.0
205,Q86XR7,Q8IUC6,1,0,1.0
206,O43318,Q9Y4K3,0,0,0.1
207,Q9Y4K3,O43318,1,0,1.0
208,Q8IUC6,Q9Y4K3,1,0,1.0
209,O15455,Q8IUC6,1,0,1.0
210,Q99836,Q9NWZ3,1,0,1.0
211,Q9NWZ3,Q99836,0,0,0.1
212,Q6ZNE5,Q14457,1,0,1.0
213,Q9Y2G2,P55211,0,1,-1.0
214,P29466,Q9Y2G2,0,1,-1.0
215,Q9Y2G2,P29466,0,0,0.1
216,P04637,P10415,0,1,-1.0
217,P10415,P04637,0,0,0.1
218,O15519,Q9NT62,0,1,-1.0
219,P51812,Q92934,0,1,-1.0
220,P23443,P62753,1,0,1.0
221,P06493,O15392,1,0,1.0
222,O15169,P49841,0,0,0.1
223,P49841,O15169,1,0,1.0
224,P49841,O75581,1,0,1.0
225,P45983,P63104,0,1,-1.0
226,P10415,Q14457,0,1,-1.0
227,O96017,P30304,0,1,-1.0
228,P53350,P30291,0,1,-1.0
229,Q00535,O60260,0,1,-1.0
230,P48729,P35222,0,1,-1.0
231,P48729,P30304,0,1,-1.0
232,O14757,P04637,1,0,1.0
233,Q01094,Q92466,1,0,1.0
234,Q92466,Q01094,0,0,0.1
235,Q13315,Q00987,0,1,-1.0
236,P04637,P60484,1,0,1.0
237,O00141,O43524,0,1,-1.0
238,P31749,Q12778,0,1,-1.0
239,Q9H4B4,P04637,1,0,1.0
240,O15350,P04637,0,0,0.1
241,P04637,O15350,1,0,1.0
242,P49841,P24385,0,1,-1.0
243,P49841,P01106,0,1,-1.0
244,O14920,Q9Y6K9,0,0,0.1
245,Q9Y6K9,O14920,0,0,0.1
246,O14757,P30304,0,1,-1.0
247,P55212,Q14790,0,0,0.1
248,Q14790,P55212,1,0,1.0
249,P06493,P67870,1,0,1.0
250,Q92630,P04637,1,0,1.0
251,Q9UHD2,Q92985,1,0,1.0
252,Q7Z434,Q9UHD2,1,0,1.0
253,Q9UHD2,Q7Z434,0,0,0.1
254,O60602,Q99836,1,0,1.0
255,O00220,Q13158,1,0,1.0
256,P29466,P01584,1,0,1.0
257,P29466,Q14116,1,0,1.0
258,P00519,Q14191,0,1,-1.0
259,Q99570,Q8NEB9,1,0,1.0
260,P55957,Q16611,1,0,1.0
261,P55957,Q07812,1,0,1.0
262,Q9NR28,P98170,0,1,-1.0
263,P06493,P30291,0,0,0.1
264,P30291,P06493,0,1,-1.0
265,P13010,P78527,0,0,0.1
266,P78527,P13010,0,0,0.1
267,P49137,P04792,0,1,-1.0
268,O14543,Q9Y4K3,0,1,-1.0
269,P27361,P36507,0,0,0.1
270,P36507,P27361,1,0,1.0
271,P45983,Q96LC9,1,0,1.0
272,P45983,P35568,0,1,-1.0
273,P45983,Q9UQF2,0,0,0.1
274,Q9UQF2,P45983,0,0,0.1
275,P51878,Q14116,1,0,1.0
276,P28482,Q02750,0,0,0.1
277,Q02750,P28482,1,0,1.0
278,O60343,P31749,0,0,0.1
279,P31749,O60343,0,1,-1.0
280,O15297,Q13315,0,1,-1.0
281,Q7Z434,O14920,1,0,1.0
282,Q14318,P10415,0,1,-1.0
283,Q9NR28,Q13490,0,1,-1.0
284,Q676U5,Q00610,1,0,1.0
285,Q13489,Q9NR28,0,0,0.1
286,Q9NR28,Q13489,0,1,-1.0
287,Q13158,Q9H1Y0,1,0,1.0
288,O15392,Q9NR28,0,0,0.1
289,Q9NR28,O15392,0,1,-1.0
290,Q13158,Q13546,1,0,1.0
291,Q13546,Q13158,0,0,0.1
292,O43464,Q9NR09,0,1,-1.0
293,Q9NR09,O43464,0,0,0.1
294,O43464,Q13489,0,1,-1.0
295,O43464,Q13490,0,1,-1.0
296,Q9Y4P1,Q9H0R8,0,0,0.1
297,O43464,P98170,0,1,-1.0
298,Q9Y4P1,O95166,0,0,0.1
299,Q9NR09,Q9NR28,0,1,-1.0
300,Q9NR28,Q9NR09,0,0,0.1
301,P42574,O14920,0,1,-1.0
302,Q9Y4P1,P60520,1,0,1.0
303,Q13315,Q9Y6K9,0,0,0.1
304,Q13490,P55210,0,1,-1.0
305,Q13489,P55210,0,1,-1.0
306,Q13315,P16104,1,0,1.0
307,P16104,Q14676,1,0,1.0
308,O15392,P55211,0,1,-1.0
309,P00533,P62993,1,0,1.0
310,P62993,P00533,0,0,0.1
311,P42574,Q13464,1,0,1.0
312,Q9NYJ8,Q9Y4K3,0,0,0.1
313,Q9Y4K3,Q9NYJ8,1,0,1.0
314,O43318,Q15750,0,0,0.1
315,Q15750,O43318,1,0,1.0
316,Q13489,P55211,0,1,-1.0
317,Q9NR09,P42574,0,1,-1.0
318,Q8IZQ1,O94817,1,0,1.0
319,O43318,Q9NYJ8,0,0,0.1
320,Q9NYJ8,O43318,1,0,1.0
321,Q99683,Q9UER7,1,0,1.0
322,Q9UER7,Q99683,0,0,0.1
323,P25445,Q9UER7,1,0,1.0
324,Q9UER7,P25445,0,0,0.1
325,Q8IZQ1,Q13501,1,0,1.0
326,Q92843,Q16611,0,1,-1.0
327,P55210,P09874,0,1,-1.0
328,Q92843,Q07812,0,1,-1.0
329,Q12933,Q99683,1,0,1.0
330,Q99683,Q12933,0,0,0.1
331,P51812,P49815,0,1,-1.0
332,Q15418,P49815,0,1,-1.0
333,P27361,P49815,0,1,-1.0
334,Q14457,Q9C0C7,1,0,1.0
335,Q9C0C7,Q14457,0,0,0.1
336,O14920,Q12933,0,0,0.1
337,Q12933,O14920,1,0,1.0
338,Q16611,O43464,1,0,1.0
339,P55212,P02545,0,1,-1.0
340,Q92934,Q92843,0,1,-1.0
341,O43521,Q92843,0,1,-1.0
342,O43521,P10415,0,1,-1.0
343,P55957,Q07817,0,1,-1.0
344,O43521,Q07817,0,1,-1.0
345,P10415,Q16611,0,1,-1.0
346,O43521,Q16611,1,0,1.0
347,Q07817,Q16611,0,1,-1.0
348,Q16611,Q07817,0,0,0.1
349,Q12933,Q13546,1,0,1.0
350,Q13546,Q12933,0,0,0.1
351,Q13546,Q15628,0,0,0.1
352,Q15628,Q13546,1,0,1.0
353,P06493,Q8NEB9,0,1,-1.0
354,Q00535,Q8NEB9,0,1,-1.0
355,P63167,Q9C0C7,0,1,-1.0
356,O75385,Q9C0C7,1,0,1.0
357,P28482,Q8N122,1,0,1.0
358,P53350,Q9UKT4,0,1,-1.0
359,Q9Y297,Q9UKT4,0,1,-1.0
360,Q16665,Q9GZT9,0,0,0.1
361,Q9GZT9,Q16665,1,0,1.0
362,Q16665,Q9H6Z9,0,0,0.1
363,Q9H6Z9,Q16665,0,1,-1.0
364,Q16665,Q96KS0,0,0,0.1
365,Q96KS0,Q16665,0,1,-1.0
366,P40337,Q16665,0,1,-1.0
367,Q86VP6,Q13616,0,1,-1.0
368,P31751,Q15672,1,0,1.0
369,P49841,Q92837,0,0,0.1
370,Q92837,P49841,1,0,1.0
371,Q13315,Q14191,0,0,0.1
372,P68400,P35222,1,0,1.0
373,P21127,O00303,0,1,-1.0
374,O15297,P16104,0,1,-1.0
375,P00519,O14746,0,1,-1.0
376,Q13263,P40763,0,1,-1.0
377,P06400,Q01094,0,1,-1.0
378,Q01094,P06400,0,0,0.1
379,P17844,P04637,1,0,1.0
380,P17844,Q13547,1,0,1.0
381,Q14164,P25963,0,1,-1.0
382,P23458,P40763,1,0,1.0
383,P53350,Q99640,0,1,-1.0
384,Q99640,P53350,0,0,0.1
385,O15111,Q00653,1,0,1.0
386,P36941,Q99558,1,0,1.0
387,P20749,Q00653,1,0,1.0
388,P20749,P19838,1,0,1.0
389,P24941,Q12778,0,1,-1.0
390,P04637,Q09472,0,0,0.1
391,Q09472,P04637,1,0,1.0
392,P25942,Q12933,1,0,1.0
393,P31749,O43524,1,0,1.0
394,P31749,P98177,1,0,1.0
395,Q96EB6,Q12778,1,0,1.0
396,P31749,Q09472,1,0,1.0
397,O15111,Q92793,1,0,1.0
398,Q14457,Q8NEB9,1,0,1.0
399,Q8IUQ4,P35222,0,1,-1.0
400,O43318,Q12933,0,0,0.1
401,Q12933,O43318,1,0,1.0
402,Q15139,P04792,1,0,1.0
403,P49841,P35222,0,1,-1.0
404,P27361,O43521,0,1,-1.0
405,P28482,O43521,0,1,-1.0
406,P35638,O43521,1,0,1.0
407,Q14790,P55210,1,0,1.0
408,P55957,Q14790,0,0,0.1
409,Q14790,P55957,1,0,1.0
410,P55210,P55211,0,0,0.1
411,P55211,P55210,1,0,1.0
412,P27361,P17676,1,0,1.0
413,P28482,P17676,1,0,1.0
414,Q12983,Q15382,0,1,-1.0
415,P48729,P16220,1,0,1.0
416,Q07817,Q92934,0,0,0.1
417,Q92934,Q07817,0,1,-1.0
418,Q13158,Q92851,1,0,1.0
419,O15519,Q13158,0,1,-1.0
420,P42574,P55212,1,0,1.0
421,P55212,P42574,0,0,0.1
422,Q96EB6,O43524,1,0,1.0
423,Q13315,Q5XUX0,1,0,1.0
424,P10415,Q92934,0,0,0.1
425,Q92934,P10415,0,1,-1.0
426,P10415,Q07812,0,1,-1.0
427,Q07812,P10415,0,0,0.1
428,Q07817,Q07812,0,1,-1.0
429,P23458,P24394,0,0,0.1
430,P24394,P23458,1,0,1.0
431,O75676,P01100,1,0,1.0
432,P24394,P52333,1,0,1.0
433,P52333,P24394,0,0,0.1
434,Q8NG66,P30304,0,1,-1.0
435,P26951,O60674,1,0,1.0
436,O15530,P17252,1,0,1.0
437,Q8N2W9,P42224,0,1,-1.0
438,P42226,P23771,1,0,1.0
439,P27361,O75582,1,0,1.0
440,P05161,P42224,0,0,0.1
441,P42224,P05161,0,0,0.1
442,O14920,P19838,0,1,-1.0
443,P19838,O14920,0,0,0.1
444,P41279,Q02750,1,0,1.0
445,P41279,P36507,1,0,1.0
446,Q06187,P58753,0,1,-1.0
447,Q15118,O00141,1,0,1.0
448,O00141,Q12778,0,1,-1.0
449,P06493,Q92993,1,0,1.0
450,P19525,P05198,0,1,-1.0
451,Q9P2K8,P05198,0,1,-1.0
452,O95786,Q7Z434,1,0,1.0
453,Q7Z434,O95786,0,0,0.1
454,Q14653,Q9UHD2,0,0,0.1
455,Q9UHD2,Q14653,1,0,1.0
456,Q9BQI3,P05198,0,1,-1.0
457,P45983,P05412,1,0,1.0
458,P07384,Q9H1Y0,0,0,0.1
459,P11021,Q9NZJ5,0,1,-1.0
460,Q9NZJ5,P18848,1,0,1.0
461,P52564,Q15759,1,0,1.0
462,P11021,O75460,0,1,-1.0
463,P11021,P18850,0,1,-1.0
464,P16471,O60674,1,0,1.0
465,P48357,O60674,1,0,1.0
466,Q01344,O60674,1,0,1.0
467,P16220,Q92793,1,0,1.0
468,Q92793,P16220,0,0,0.1
469,P17655,Q9H1Y0,0,0,0.1
470,P49674,O14640,1,0,1.0
471,P48730,O15055,0,0,0.1
472,P31749,Q07352,0,1,-1.0
473,O75676,P16220,1,0,1.0
474,Q13263,P42224,0,0,0.1
475,O00255,Q03164,1,0,1.0
476,Q03164,O00255,0,0,0.1
477,Q96EB6,Q04206,0,1,-1.0
478,Q01105,P15531,0,1,-1.0
479,Q96EB6,Q01201,0,1,-1.0
480,P35226,Q99496,1,0,1.0
481,P42224,Q92793,0,1,-1.0
482,Q92793,P42224,0,0,0.1
483,O43189,Q15022,1,0,1.0
484,P17252,P28482,1,0,1.0
485,P28482,P17252,0,0,0.1
486,P00533,P12931,0,0,0.1
487,P12931,P00533,1,0,1.0
488,Q9NQC7,Q9Y6K9,0,1,-1.0
489,Q9Y6K9,Q9NQC7,0,0,0.1
490,Q15759,P15336,1,0,1.0
491,O15297,Q00987,1,0,1.0
492,Q13490,Q9Y6K9,1,0,1.0
493,P23443,P42345,0,0,0.1
494,P42345,P23443,1,0,1.0
495,Q96J02,O15519,0,1,-1.0
496,P54132,Q9BXW9,1,0,1.0
497,Q9BXW9,P54132,0,0,0.1
498,P62993,Q07889,1,0,1.0
499,Q07889,P62993,0,0,0.1
500,O14965,P38398,1,0,1.0
501,Q13315,P15336,1,0,1.0
502,Q15843,Q13617,1,0,1.0
503,O75676,Q04206,1,0,1.0
504,O15530,P31749,1,0,1.0
505,O00311,P49736,1,0,1.0
506,P35222,Q09472,0,0,0.1
507,Q09472,P35222,1,0,1.0
508,Q96L91,Q92993,0,1,-1.0
509,P78527,Q00839,1,0,1.0
510,Q96EB6,Q9Y618,1,0,1.0
511,Q96EB6,O75376,1,0,1.0
512,Q969H0,P46531,1,0,1.0
513,P35222,Q9NQB0,1,0,1.0
514,P49137,P16220,1,0,1.0
515,Q9UBE8,Q9NQB0,0,1,-1.0
516,Q04759,Q9BXL7,1,0,1.0
517,P31749,P67809,1,0,1.0
518,O43318,Q9UBE8,1,0,1.0
519,O14757,Q9UKI8,0,1,-1.0
520,P53667,Q9Y281,1,0,1.0
521,Q13464,P53671,1,0,1.0
522,P53667,P23528,0,1,-1.0
523,P53671,P23528,0,1,-1.0
524,P53667,Q13464,0,0,0.1
525,Q13464,P53667,1,0,1.0
526,Q9Y4K3,Q15750,1,0,1.0
527,P52292,P10914,1,0,1.0
528,P51617,Q92985,1,0,1.0
529,O60603,Q86XR7,1,0,1.0
530,Q86XR7,Q99836,1,0,1.0
531,P61978,P04637,1,0,1.0
532,Q13490,Q99558,0,1,-1.0
533,Q13489,Q99558,0,1,-1.0
534,Q13490,Q13546,1,0,1.0
535,Q13489,Q13546,1,0,1.0
536,Q96CA5,Q9NR28,0,1,-1.0
537,Q9BXR5,Q99836,1,0,1.0
538,P51617,Q99836,0,0,0.1
539,Q99836,P51617,1,0,1.0
540,Q9NR97,Q99836,1,0,1.0
541,Q15717,P20248,1,0,1.0
542,Q9NWT6,Q16665,0,1,-1.0
543,P27361,Q16665,1,0,1.0
544,P28482,Q16665,1,0,1.0
545,O60341,P04637,0,1,-1.0
546,Q9Y4R8,P42345,1,0,1.0
547,Q9Y4R8,Q13315,1,0,1.0
548,P06493,P30304,1,0,1.0
549,P30304,P06493,0,0,0.1
550,Q13263,Q00987,1,0,1.0
551,O14757,Q9HAW4,1,0,1.0
552,Q9HAW4,O14757,0,0,0.1
553,Q09472,Q16665,1,0,1.0
554,Q9NR96,Q99836,1,0,1.0
555,Q9NYK1,Q99836,1,0,1.0
556,Q13315,P54132,1,0,1.0
557,Q13164,P22736,1,0,1.0
558,P51617,Q9NWZ3,0,0,0.1
559,Q9NWZ3,P51617,1,0,1.0
560,P24941,P38936,0,1,-1.0
561,P38936,P24941,0,0,0.1
562,Q13315,P08047,1,0,1.0
563,Q13315,Q14683,1,0,1.0
564,Q13163,Q99759,0,0,0.1
565,Q99759,Q13163,1,0,1.0
566,Q13315,O15151,0,1,-1.0
567,O15151,Q00987,0,0,0.1
568,Q00987,O15151,0,0,0.1
569,O15151,P04637,0,1,-1.0
570,P27695,P40763,1,0,1.0
571,P25054,P35222,0,1,-1.0
572,Q15843,Q13619,0,1,-1.0
573,Q13535,Q13315,1,0,1.0
574,P45983,Q96J02,1,0,1.0
575,O14965,P30305,1,0,1.0
576,P06493,P30305,1,0,1.0
577,P30305,P06493,0,0,0.1
578,P53350,Q9HAW4,0,1,-1.0
579,Q13535,Q9BXW9,1,0,1.0
580,Q86VP6,Q13619,0,1,-1.0
581,P53350,P30307,1,0,1.0
582,Q99683,Q9Y4K3,0,0,0.1
583,Q9Y4K3,Q99683,1,0,1.0
584,P53350,Q08050,1,0,1.0
585,P14635,Q08050,0,0,0.1
586,Q08050,P14635,1,0,1.0
587,Q08050,P30305,1,0,1.0
588,Q9H8V3,P61586,1,0,1.0
589,P61586,Q13464,1,0,1.0
590,Q13464,P61586,0,0,0.1
591,Q13315,P78527,1,0,1.0
592,P10599,Q99683,0,1,-1.0
593,Q99683,P10599,0,0,0.1
594,P38936,P12004,0,1,-1.0
595,Q9Y6I7,Q9H2X6,0,1,-1.0
596,P46937,O15350,1,0,1.0
597,Q96J02,O15350,0,1,-1.0
598,Q13315,Q8IUQ4,0,1,-1.0
599,P24941,P06400,0,1,-1.0
600,Q9H2X6,Q13363,0,0,0.1
601,P45983,Q13363,0,1,-1.0
602,P00519,P46937,1,0,1.0
603,Q01094,Q04206,1,0,1.0
604,P53350,Q6PGQ7,0,1,-1.0
605,Q6PGQ7,P53350,0,0,0.1
606,O43683,P53350,1,0,1.0
607,O14965,P53350,1,0,1.0
608,P51955,O14777,1,0,1.0
609,P17706,P40763,0,1,-1.0
610,P17706,P42224,0,1,-1.0
611,P17706,P35968,0,1,-1.0
612,P28562,Q16539,1,0,1.0
613,Q16539,P28562,0,0,0.1
614,Q16539,P01100,1,0,1.0
615,Q16539,P00533,0,1,-1.0
616,Q16539,P22415,1,0,1.0
617,Q16539,P30305,0,1,-1.0
618,Q96EB6,P04637,0,1,-1.0
619,P06493,P68400,1,0,1.0
620,P68400,P06493,0,0,0.1
621,P12931,P40763,1,0,1.0
622,Q9NSA3,P35222,0,1,-1.0
623,P23458,P42229,1,0,1.0
624,P31749,O14746,1,0,1.0
625,Q9H2X6,P29590,1,0,1.0
626,Q13315,P54274,1,0,1.0
627,P42773,Q00534,0,1,-1.0
628,O75943,Q13315,0,0,0.1
629,Q13315,O75943,1,0,1.0
630,P01106,Q8N726,0,1,-1.0
631,P42773,P11802,0,1,-1.0
632,Q13535,P04637,1,0,1.0
633,P04637,Q00987,0,0,0.1
634,Q00987,P04637,0,1,-1.0
635,O43524,P29353,0,0,0.1
636,P29353,O43524,0,0,0.1
637,O60934,Q13315,0,0,0.1
638,Q13315,O60934,1,0,1.0
639,P04637,P38936,1,0,1.0
640,P38936,P04637,0,0,0.1
641,P04637,Q07812,1,0,1.0
642,P38398,Q13315,0,0,0.1
643,Q13315,P38398,1,0,1.0
644,P04637,Q13315,0,0,0.1
645,Q13315,P04637,1,0,1.0
646,O14757,P30307,0,1,-1.0
647,O96017,P30307,0,1,-1.0
648,Q13315,Q99638,1,0,1.0
649,P38398,Q99708,1,0,1.0
650,Q13315,O96017,1,0,1.0
651,Q13315,Q99708,0,1,-1.0
652,P49841,Q00613,0,1,-1.0
653,P63279,P63165,1,0,1.0
654,Q04206,Q92793,0,0,0.1
655,Q92793,Q04206,1,0,1.0
656,P63165,Q9Y4K3,1,0,1.0
657,Q9UD71,P62136,0,1,-1.0
658,Q9Y4K3,P10242,0,1,-1.0
659,P24941,Q05516,0,1,-1.0
660,Q00535,Q13315,1,0,1.0
661,Q00535,Q15078,0,1,-1.0
662,Q15078,Q00535,0,0,0.1
663,P31749,O60285,1,0,1.0
664,P06748,Q8N726,1,0,1.0
665,Q8N726,P06748,0,0,0.1
666,Q9UIG0,P16104,1,0,1.0
667,Q13535,O15360,1,0,1.0
668,P62136,P06400,1,0,1.0
669,P24941,P49916,0,1,-1.0
670,Q00987,P61978,0,1,-1.0
671,P10144,P55957,1,0,1.0
672,Q13177,P00519,1,0,1.0
673,P99999,O14727,1,0,1.0
674,P00519,Q15139,1,0,1.0
675,Q15139,P00519,0,0,0.1
676,P00519,P19174,0,1,-1.0
677,P19174,P00519,0,0,0.1
678,P00519,O15162,0,1,-1.0
679,P00519,P09619,1,0,1.0
680,Q9Y243,Q96B36,0,1,-1.0
681,P30968,O95467,1,0,1.0
682,P30968,P29992,1,0,1.0
683,P30968,P63096,1,0,1.0
684,P00519,Q9Y6Q9,1,0,1.0
685,P00519,P15941,1,0,1.0
686,P00519,P16333,1,0,1.0
687,P16333,P00519,0,0,0.1
688,P00519,P17931,0,0,0.1
689,P00519,Q00987,0,1,-1.0
690,P00519,P03372,1,0,1.0
691,P00519,P63244,1,0,1.0
692,P00519,P00533,1,0,1.0
693,P00519,Q92466,0,1,-1.0
