,source,target,stimulation,inhibition,mode_of_action
3770,O75688,P50750,0,1,-1.0
3771,O15105,Q8N5C8,1,0,1.0
3772,O15198,Q13485,1,0,1.0
3773,P51531,Q8TAQ2,1,0,1.0
3774,P51532,Q8TAQ2,1,0,1.0
3775,P51532,P37275,1,0,1.0
3776,P49841,Q16539,0,0,0.1
3777,Q16539,P49841,0,1,-1.0
3778,Q99835,P32121,1,0,1.0
3779,Q99835,P09341,1,0,1.0
3780,Q99835,P06241,1,0,1.0
3781,Q99835,P63096,1,0,1.0
3782,Q99835,P04899,1,0,1.0
3783,Q99835,P62873,1,0,1.0
3784,Q99835,P16520,1,0,1.0
3785,Q99835,Q9UBI6,1,0,1.0
3786,Q99835,P59768,1,0,1.0
3787,Q99835,P63215,1,0,1.0
3788,Q99835,P63211,1,0,1.0
3789,Q99835,P12931,1,0,1.0
3790,Q99835,Q13009,1,0,1.0
3791,Q9HCE7,P36894,0,1,-1.0
3792,Q9HCE7,Q13873,0,1,-1.0
3793,P0DP25,P48454,1,0,1.0
3794,Q92793,Q06413,1,0,1.0
3795,Q9HCE7,Q13950,0,1,-1.0
3796,Q9HCE7,Q15797,0,1,-1.0
3797,Q9HCE7,Q13485,0,1,-1.0
3798,Q9HCE7,Q99717,0,1,-1.0
3799,Q9HCE7,O43541,0,1,-1.0
3800,Q9HCE7,O15198,0,1,-1.0
3801,Q9HCE7,P37173,0,1,-1.0
3802,Q9HAU4,P36894,0,1,-1.0
3803,Q9HAU4,Q13873,0,1,-1.0
3804,P53779,P61978,1,0,1.0
3805,P45983,P61978,1,0,1.0
3806,P45984,P61978,1,0,1.0
3807,Q9HAU4,Q99717,0,1,-1.0
3808,Q9HAU4,P37173,0,1,-1.0
3809,Q9HCE7,P12757,0,1,-1.0
3810,Q9HAU4,Q13485,0,1,-1.0
3811,Q9HAU4,O43541,0,1,-1.0
3812,P24941,Q01196,0,1,-1.0
3813,Q08881,Q96LC7,1,0,1.0
3814,O15530,Q9BXL7,1,0,1.0
3815,O15530,Q04759,0,0,0.1
3816,Q04759,O15530,0,0,0.1
3817,P06493,P49459,1,0,1.0
3818,Q15831,P04637,1,0,1.0
3819,P28482,Q9NYA1,1,0,1.0
3820,P27361,Q9NYA1,1,0,1.0
3821,P28482,Q09472,1,0,1.0
3822,Q13424,P29475,1,0,1.0
3823,P51948,P03372,1,0,1.0
3824,Q9Y5X1,P50570,1,0,1.0
3825,O15524,P51617,0,1,-1.0
3826,Q92993,P46531,0,1,-1.0
3827,O15524,P52333,0,1,-1.0
3828,O14543,P40189,0,1,-1.0
3829,O14543,P35568,0,1,-1.0
3830,O14543,P52333,0,1,-1.0
3831,P52333,O14543,0,0,0.1
3832,P27361,Q09472,1,0,1.0
3833,Q9NPG1,Q03113,1,0,1.0
3834,Q9BX66,P22681,1,0,1.0
3835,P46777,O15350,1,0,1.0
3836,Q07890,P01112,1,0,1.0
3837,Q07890,P01116,1,0,1.0
3838,P06493,Q53EZ4,0,1,-1.0
3839,P06239,P16885,1,0,1.0
3840,P35712,P35222,0,1,-1.0
3841,O43561,O00459,1,0,1.0
3842,P53778,P15336,1,0,1.0
3843,P08047,O43186,1,0,1.0
3844,Q09472,P52292,1,0,1.0
3845,P28482,P19634,1,0,1.0
3846,O15264,P05787,1,0,1.0
3847,O60271,Q15759,1,0,1.0
3848,P17947,Q02556,1,0,1.0
3849,O00303,P46531,1,0,1.0
3850,O60674,Q99683,0,1,-1.0
3851,P17947,P17542,0,1,-1.0
3852,O43791,Q9Y6Q9,0,1,-1.0
3853,O43609,Q07889,0,1,-1.0
3854,O43597,Q13191,0,1,-1.0
3855,P04049,Q9C004,0,0,0.1
3856,Q9C004,P04049,0,1,-1.0
3857,Q9C004,Q15569,0,1,-1.0
3858,P12931,P31749,1,0,1.0
3859,P31749,P12931,0,0,0.1
3860,P12931,Q9Y243,1,0,1.0
3861,P12931,P31751,1,0,1.0
3862,P04083,P12931,0,0,0.1
3863,P12931,P04083,1,0,1.0
3864,P12931,P07355,1,0,1.0
3865,P28482,P11362,0,1,-1.0
3866,P27361,P11362,0,1,-1.0
3867,P12931,P63010,0,1,-1.0
3868,P12931,Q9NRY4,1,0,1.0
3869,P12931,P52565,0,1,-1.0
3870,P12931,P52566,0,0,0.1
3871,P12931,Q9NR80,1,0,1.0
3872,P12931,P30411,1,0,1.0
3873,P49674,P35222,0,1,-1.0
3874,P12931,P51813,1,0,1.0
3875,P12931,Q14790,0,1,-1.0
3876,P12931,P51636,0,1,-1.0
3877,P12931,P19022,0,1,-1.0
3878,P12931,P33151,1,0,1.0
3879,P12931,P46527,0,1,-1.0
3880,P12931,P13688,1,0,1.0
3881,P12931,P23528,0,1,-1.0
3882,P12931,P52757,0,1,-1.0
3883,P12931,Q00610,1,0,1.0
3884,P12931,P35222,1,0,1.0
3885,P68400,P37840,1,0,1.0
3886,P12931,P50402,0,1,-1.0
3887,P12931,P29317,0,1,-1.0
3888,P03372,P12931,0,0,0.1
3889,P12931,P03372,1,0,1.0
3890,P12931,P15311,1,0,1.0
3891,P68400,P42768,1,0,1.0
3892,P12931,Q9UKT4,1,0,1.0
3893,P12931,P35916,1,0,1.0
3894,P12931,Q13480,1,0,1.0
3895,P12931,P17302,0,1,-1.0
3896,P12931,Q13322,0,1,-1.0
3897,P12931,P62993,1,0,1.0
3898,P62993,P12931,0,0,0.1
3899,P45983,Q13043,1,0,1.0
3900,P12931,P04439,0,0,0.1
3901,P05412,P28482,0,0,0.1
3902,P28482,P05412,1,0,1.0
3903,P27361,P05412,1,0,1.0
3904,P08069,P12931,0,0,0.1
3905,P12931,P08069,1,0,1.0
3906,P12931,O14920,1,0,1.0
3907,P12931,O15357,1,0,1.0
3908,P12931,P20701,0,1,-1.0
3909,P12931,P05107,0,1,-1.0
3910,P12931,P05106,1,0,1.0
3911,P12931,P14923,1,0,1.0
3912,P12931,P10721,1,0,1.0
3913,P12931,P01116,1,0,1.0
3914,P12931,Q9NRM7,0,1,-1.0
3915,P12931,O95835,0,1,-1.0
3916,P12931,P50281,0,0,0.1
3917,P12931,P15941,1,0,1.0
3918,P12931,Q15746,1,0,1.0
3919,O60716,P33151,1,0,1.0
3920,Q13237,Q14847,0,0,0.1
3921,P12931,P25963,1,0,1.0
3922,P12931,P35228,1,0,1.0
3923,P12931,Q86UR1,1,0,1.0
3924,Q16539,Q6STE5,1,0,1.0
3925,P12931,Q13177,1,0,1.0
3926,P12931,O15530,1,0,1.0
3927,P12931,O15162,1,0,1.0
3928,P12931,P41743,1,0,1.0
3929,Q92569,P42336,1,0,1.0
3930,P12931,Q15139,1,0,1.0
3931,P12931,P60484,0,1,-1.0
3932,P12931,P63000,1,0,1.0
3933,P12931,Q13905,1,0,1.0
3934,Q16539,P04637,1,0,1.0
3935,P12931,Q9UBS0,0,0,0.1
3936,P12931,P10301,0,1,-1.0
3937,P12931,Q99961,0,1,-1.0
3938,P12931,O43597,1,0,1.0
3939,P12931,Q9UGK3,1,0,1.0
3940,P12931,P42224,1,0,1.0
3941,P12931,P42229,1,0,1.0
3942,P12931,P51692,1,0,1.0
3943,P12931,O14746,0,1,-1.0
3944,P12931,P01135,1,0,1.0
3945,P12931,Q13009,1,0,1.0
3946,P12931,P42681,1,0,1.0
3947,P12931,Q9UKW4,1,0,1.0
3948,P12931,P09327,1,0,1.0
3949,P12931,Q92558,1,0,1.0
3950,Q13363,P38398,0,1,-1.0
3951,P28482,P49841,0,0,0.1
3952,P11831,P05231,1,0,1.0
3953,P11831,P35354,1,0,1.0
3954,Q96SB4,Q07955,1,0,1.0
3955,Q01130,Q00987,1,0,1.0
3956,P49336,Q15797,0,1,-1.0
3957,P28482,Q13541,0,1,-1.0
3958,P27361,P08047,1,0,1.0
3959,P45984,P16104,1,0,1.0
3960,P23528,Q8WYL5,0,0,0.1
3961,Q8WYL5,P23528,1,0,1.0
3962,P30872,Q03113,1,0,1.0
3963,P30872,P63096,1,0,1.0
3964,P30874,P63096,1,0,1.0
3965,P32745,P63096,1,0,1.0
3966,P31391,Q03113,1,0,1.0
3967,P31391,P63096,1,0,1.0
3968,P35346,P63096,1,0,1.0
3969,Q00535,P04637,1,0,1.0
3970,P05067,P45983,0,0,0.1
3971,P45983,P05067,1,0,1.0
3972,P27361,Q15788,1,0,1.0
3973,P42224,P14316,1,0,1.0
3974,P42224,Q04206,0,1,-1.0
3975,P11802,P84022,0,1,-1.0
3976,P40763,P15692,1,0,1.0
3977,P42229,Q9BZS1,1,0,1.0
3978,Q14344,O15085,1,0,1.0
3979,P42226,P42224,0,1,-1.0
3980,Q86WV6,Q9UHD2,0,0,0.1
3981,Q9UHD2,Q86WV6,0,0,0.1
3982,O94804,P26038,0,1,-1.0
3983,Q15831,Q8TDC3,1,0,1.0
3984,Q15831,Q8IWQ3,1,0,1.0
3985,Q15831,Q14680,1,0,1.0
3986,Q15831,O60285,1,0,1.0
3987,Q15831,Q9H093,1,0,1.0
3988,Q15831,Q13153,0,1,-1.0
3989,Q15831,P54646,1,0,1.0
3990,Q15831,P60484,0,1,-1.0
3991,P68400,P07900,0,0,0.1
3992,P68400,P08047,0,1,-1.0
